   ,crm_7405f         ,crm_7078              ,crm_5599          ,crm_5351          ,crm_7289
57 ,877.2796000990402 ,0.0                   ,400.5008219259163 ,                  ,
58 ,869.8554679783359 ,0.0                   ,313.88386401398344,                  ,
59 ,874.085186567933  ,0.0                   ,535.7368053214916 ,                  ,
60 ,782.5166947161582 ,0.0                   ,512.147579299949  ,                  ,
61 ,0.0               ,0.0                   ,0.0               ,                  ,
62 ,0.0               ,0.0                   ,0.0               ,                  ,
63 ,813.4857813267023 ,0.0                   ,940.9328993551611 ,                  ,
64 ,823.3195554632983 ,0.0                   ,1038.3928196526413,                  ,
65 ,831.0827487932135 ,0.0                   ,1031.5921185095265,                  ,
66 ,838.3251242387495 ,0.0                   ,1021.9970517169739,                  ,
67 ,845.3289166738704 ,0.0                   ,1012.6600636096936,                  ,
68 ,852.2817299466067 ,0.0                   ,997.4377238619884 ,                  ,
69 ,859.1804858657802 ,0.0                   ,986.1050807476722 ,                  ,
70 ,865.8656957593215 ,0.0                   ,977.0116676844282 ,                  ,
71 ,872.163863003434  ,0.0                   ,963.9894263757135 ,                  ,
72 ,878.4840632064934 ,0.0                   ,952.7013724951696 ,                  ,
73 ,884.859880468789  ,0.0                   ,949.2321160930676 ,                  ,
74 ,890.9555676824499 ,0.0                   ,939.1952638138695 ,                  ,
75 ,896.9583882029953 ,0.0                   ,923.8360954535256 ,                  ,
76 ,904.3009398674583 ,0.0                   ,912.2611890190303 ,                  ,
77 ,910.7643567271205 ,0.0                   ,901.5270675928573 ,                  ,
78 ,915.7263205687207 ,0.0                   ,891.212483009106  ,                  ,
79 ,923.0504166889405 ,0.0                   ,880.8559572291484 ,                  ,
80 ,928.2641948003453 ,0.0                   ,871.6508546857576 ,                  ,
81 ,933.5138807685519 ,0.0                   ,861.9508813215687 ,                  ,
82 ,939.4932746369601 ,0.0                   ,853.7983081586342 ,                  ,
83 ,944.506946816492  ,0.0                   ,844.766159317395  ,                  ,
84 ,949.8588774928122 ,0.0                   ,835.7363865761313 ,                  ,
85 ,955.0299235624144 ,0.0                   ,827.5393301994955 ,                  ,
86 ,960.1942066938029 ,0.0                   ,818.6258767688757 ,                  ,
87 ,964.9581025569133 ,0.0                   ,812.9782635230458 ,                  ,
88 ,0.0               ,0.0                   ,808.0989038178851 ,                  ,
89 ,0.0               ,0.0                   ,795.7551885263927 ,                  ,
90 ,0.0               ,0.0                   ,788.4820380982077 ,                  ,
91 ,0.0               ,0.0                   ,783.7176661880344 ,                  ,
92 ,0.0               ,0.0                   ,775.9552750015812 ,                  ,
93 ,989.4867657170778 ,0.0                   ,764.4374139264746 ,                  ,
94 ,1006.3433704492155,0.0                   ,759.5512207149565 ,                  ,
95 ,1016.0043073222522,0.0                   ,751.9995904285817 ,                  ,
96 ,1024.27141781211  ,0.0                   ,744.499929495887  ,                  ,
97 ,1035.507651459639 ,0.0                   ,735.7762960695193 ,                  ,
98 ,1043.4894336181842,0.0                   ,728.5833113224255 ,                  ,
99 ,1051.0450562704075,0.0                   ,720.2749547413036 ,                  ,
100,1080.222528135204 ,129.53                ,742.4124773706518 ,                  ,
101,1083.5652485991436,130.1327346416296     ,733.7769110354309 ,                  ,
102,1086.3537596756487,130.7082799222045     ,725.4523432292692 ,                  ,
103,1085.7613996574805,130.52265243863175    ,712.4696489287193 ,                  ,
104,537.8955505602418 ,0.0                   ,581.1054076383725 ,                  ,
105,893.518748647431  ,128.2574497689265     ,424.6871119419724 ,                  ,
106,1512.7347778934995,127.99805479118427    ,568.7207125450752 ,                  ,
107,1524.1364533291267,127.7058660210983     ,610.9238155205019 ,                  ,
108,1529.0418717230054,127.95106681207422    ,644.2325037569169 ,                  ,
109,1529.125628013853 ,126.704547527373      ,653.702893298569  ,                  ,
110,554.6493666696382 ,0.0                   ,314.40916302369993,                  ,
111,79.22493828915037 ,126.19174844462462    ,0.0               ,                  ,
112,639.5326993901592 ,126.47266016516241    ,381.5411952646331 ,                  ,
113,655.8304454343191 ,126.92727118482568    ,719.9823110830673 ,                  ,
114,707.210699810393  ,127.21206177705474    ,738.5620174461042 ,                  ,
115,724.4773181498077 ,127.69090558821446    ,747.7524424384562 ,                  ,
116,725.6399455026198 ,128.15586648300177    ,743.1547550423547 ,                  ,
117,749.8715778181916 ,128.6207534515166     ,735.1780946620587 ,                  ,
118,746.5090875378485 ,128.24569019359086    ,1326.9374823049357,                  ,
119,728.4693203140305 ,128.909029929592      ,1683.9370247064658,                  ,
120,848.3356519044215 ,129.4368088332371     ,2133.1240201091027,                  ,
121,841.8624395248788 ,129.8528252019501     ,1214.4991670165814,                  ,
122,822.2191241548745 ,130.87848247108997    ,621.0248991735872 ,                  ,
123,834.4785140192624 ,131.45962503079704    ,614.1529192270988 ,                  ,
