DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2013-12-05,0      ,1306.06,264.79 ,609.47,0
2013-12-06,0      ,605.59 ,106.82 ,321.16,0
2013-12-07,0      ,1166.9 ,251.57 ,577.46,0
2013-12-08,0      ,1170.31,264.78 ,605.97,0
2013-12-09,0      ,590.11 ,105.28 ,308.67,0
2013-12-10,0      ,780.7  ,154.42 ,37.17 ,0
2013-12-11,0      ,62.69  ,0      ,0     ,0
2013-12-12,0      ,1096.97,209.17 ,56.35 ,0
2013-12-13,0      ,364.15 ,135.68 ,111.55,0
2013-12-14,0      ,1023.24,215.12 ,460.84,0
2013-12-15,0      ,1086.49,208.64 ,552.54,0
2013-12-16,0      ,1228.17,253.67 ,627.43,0
2013-12-17,0      ,1276.23,284.01 ,649.17,0
2013-12-18,0      ,1311.5 ,275.19 ,629   ,0
2013-12-19,0      ,1306.85,274.85 ,628.24,0
2013-12-20,0      ,916.69 ,151.55 ,388.08,0
2013-12-21,0      ,1149.7 ,259.98 ,589.05,0
2013-12-22,0      ,1268.29,276.48 ,632.5 ,0
2013-12-23,0      ,1300.33,274.74 ,628.71,0
2013-12-24,0      ,1332.52,274.49 ,628.16,0
2013-12-25,0      ,1321.87,282.76 ,646.65,0
2013-12-26,0      ,1133.69,240.71 ,534.96,0
2013-12-27,0      ,648.24 ,154.55 ,262.78,0
2013-12-28,0      ,1219.26,268.24 ,615.33,0
2013-12-29,0      ,1240.64,273.76 ,627.72,0
2013-12-30,0      ,1269.54,273.25 ,626.64,0
2013-12-31,0      ,973.43 ,239.21 ,529.54,0
2014-01-01,0      ,1199.06,276.25 ,604.44,0
2014-01-02,0      ,1327.31,275.19 ,631.61,0
2014-01-03,0      ,1296.68,232.87 ,619.46,0
2014-01-04,0      ,753.22 ,171.12 ,358.71,0
2014-01-05,0      ,287.7  ,51.31  ,32.57 ,0
2014-01-06,0      ,1109.93,260.47 ,523.11,0
2014-01-07,0      ,1202.73,269.88 ,620.74,0
2014-01-08,0      ,1218.19,281.94 ,647.63,0
2014-01-09,0      ,1241.32,275.23 ,632.21,0
2014-01-10,0      ,1253.36,275.86 ,633.44,0
2014-01-11,0      ,1279.02,274.6  ,630.81,0
2014-01-12,0      ,1276.71,273.45 ,628.08,0
2014-01-13,0      ,1289.27,275.89 ,633.9 ,0
2014-01-14,0      ,1311.79,269.08 ,618.13,0
2014-01-15,0      ,1274.05,213.77 ,600.53,0
2014-01-16,0      ,1250.06,203.72 ,604.43,351.05
2014-01-17,0      ,1297.07,269.91 ,619.14,485.34
2014-01-18,0      ,1282.74,83.39  ,593.68,513.12
2014-01-19,0      ,1231.07,0      ,568.99,497.55
2014-01-20,0      ,1236.35,0      ,580.12,469.59
2014-01-21,0      ,1245.46,0      ,570.78,479.09
2014-01-22,0      ,1296.27,0      ,597.45,495.13
